\FILE_NAME,\STAR_ID,\DATA_CATEGORY,\NUMBER_OF_POINTS,\TIME_REFERENCE_FRAME,\MINIMUM_DATE,\DATE_UNITS,\MAXIMUM_DATE,\MINIMUM_VALUE,\VALUE_UNITS,\MAXIMUM_VALUE,\REFERENCE,\BIBCODE,\TELESCOPE,\INSTRUMENT,\WAVELENGTH_CALIBRATION_TECHNIQUE,\OBSERVATORY_SITE,\COLUMN_FCJD,\COLUMN_RADIAL_VELOCITY
K10_014_RV.tbl,2MASS J19375456+4459048,Planet Radial Velocity Curve,23,FCJD,2454934.956875,days,2455550.556447,-183.026,m/s,181.741,"Thomas et al. 2016 (PASP, 128, 5003)",2016PASP..128d5003T,2.5m Sloan Foundation Telescope,MARVELS,Tungsten Iodine Lamp,"Apache Point Observatory, New Mexico",Flux Centered Julian Date of observation,Radial velocity relative to barycenter
FIELD1110_100_RV.tbl,TYC 2440-00464-1,Planet Radial Velocity Curve,23,FCJD,2454901.718171,days,2455523.825903,-60.619,m/s,98.745,"Thomas et al. 2016 (PASP, 128, 5003)",2016PASP..128d5003T,2.5m Sloan Foundation Telescope,MARVELS,Tungsten Iodine Lamp,"Apache Point Observatory, New Mexico",Flux Centered Julian Date of observation,Radial velocity relative to barycenter
APG_VOD3_062_RV.tbl,NMD1-0828-0319466,Planet Radial Velocity Curve,18,FCJD,2455580.943345,days,2456082.637917,-184.598,m/s,213.973,"Thomas et al. 2016 (PASP, 128, 5003)",2016PASP..128d5003T,2.5m Sloan Foundation Telescope,MARVELS,Tungsten Iodine Lamp,"Apache Point Observatory, New Mexico",Flux Centered Julian Date of observation,Radial velocity relative to barycenter
51PEG_016_RV.tbl,2MASS J23020035+2030294,Planet Radial Velocity Curve,32,FCJD,2454781.560405,days,2455553.588576,-191.336,m/s,135.281,"Thomas et al. 2016 (PASP, 128, 5003)",2016PASP..128d5003T,2.5m Sloan Foundation Telescope,MARVELS,Tungsten Iodine Lamp,"Apache Point Observatory, New Mexico",Flux Centered Julian Date of observation,Radial velocity relative to barycenter
FIELD1572_031_RV.tbl,2MASS J21314538+5351414,Planet Radial Velocity Curve,32,FCJD,2454993.897523,days,2455550.601528,-263.807,m/s,201.806,"Thomas et al. 2016 (PASP, 128, 5003)",2016PASP..128d5003T,2.5m Sloan Foundation Telescope,MARVELS,Tungsten Iodine Lamp,"Apache Point Observatory, New Mexico",Flux Centered Julian Date of observation,Radial velocity relative to barycenter
GL273_118_RV.tbl,2MASS J07221909+0524540,Planet Radial Velocity Curve,27,FCJD,2454782.994757,days,2455557.925394,-31839.662,m/s,43818.910,"Thomas et al. 2016 (PASP, 128, 5003)",2016PASP..128d5003T,2.5m Sloan Foundation Telescope,MARVELS,Tungsten Iodine Lamp,"Apache Point Observatory, New Mexico",Flux Centered Julian Date of observation,Radial velocity relative to barycenter
47UMA_082_RV.tbl,2MASS J10582773+4011394,Planet Radial Velocity Curve,28,FCJD,2454927.821296,days,2455557.971782,-178.439,m/s,175.373,"Thomas et al. 2016 (PASP, 128, 5003)",2016PASP..128d5003T,2.5m Sloan Foundation Telescope,MARVELS,Tungsten Iodine Lamp,"Apache Point Observatory, New Mexico",Flux Centered Julian Date of observation,Radial velocity relative to barycenter
GL273_018_RV.tbl,2MASS J07222543+0439091,Planet Radial Velocity Curve,27,FCJD,2454782.994757,days,2455557.925394,-104.602,m/s,92.698,"Thomas et al. 2016 (PASP, 128, 5003)",2016PASP..128d5003T,2.5m Sloan Foundation Telescope,MARVELS,Tungsten Iodine Lamp,"Apache Point Observatory, New Mexico",Flux Centered Julian Date of observation,Radial velocity relative to barycenter
51PEG_116_RV.tbl,2MASS J22592702+2028123,Planet Radial Velocity Curve,32,FCJD,2454781.560405,days,2455553.588576,-394.183,m/s,236.000,"Thomas et al. 2016 (PASP, 128, 5003)",2016PASP..128d5003T,2.5m Sloan Foundation Telescope,MARVELS,Tungsten Iodine Lamp,"Apache Point Observatory, New Mexico",Flux Centered Julian Date of observation,Radial velocity relative to barycenter
K15_008_RV.tbl,2MASS J19445646+4439214,Planet Radial Velocity Curve,20,FCJD,2454902.997951,days,2455489.611042,-126.091,m/s,125.909,"Thomas et al. 2016 (PASP, 128, 5003)",2016PASP..128d5003T,2.5m Sloan Foundation Telescope,MARVELS,Tungsten Iodine Lamp,"Apache Point Observatory, New Mexico",Flux Centered Julian Date of observation,Radial velocity relative to barycenter
FIELD1348_117_RV.tbl,2MASS J17290349+4158576,Planet Radial Velocity Curve,24,FCJD,2454935.896042,days,2455486.571053,-28808.020,m/s,55177.688,"Thomas et al. 2016 (PASP, 128, 5003)",2016PASP..128d5003T,2.5m Sloan Foundation Telescope,MARVELS,Tungsten Iodine Lamp,"Apache Point Observatory, New Mexico",Flux Centered Julian Date of observation,Radial velocity relative to barycenter
